Music	100%	1,011,305	2,801.8	5,695	15.8	6,244	17.3	999,366	2,768.7
Speech	100%	1,010,480	2,793.5	5,324	14.7	5,735	15.9	999,421	2,762.9
Vehicle	100%	128,051	354.2	780	2.2	860	2.4	126,411	349.7
Musical instrument	100%	117,343	325.9	406	1.1	532	1.5	116,405	323.3
Plucked string instrument	100%	44,565	123.8	254	0.7	302	0.8	44,009	122.2
Singing	100%	42,493	118.0	362	1.0	517	1.4	41,614	115.6
Car	100%	41,554	114.9	280	0.8	296	0.8	40,978	113.3
Animal	100%	40,758	112.6	698	1.9	734	2.0	39,326	108.6
Outside, rural or natural	100%	35,731	99.1	185	0.5	255	0.7	35,291	97.9
Violin, fiddle	100%	28,125	78.1	60	0.2	64	0.2	28,001	77.8
Bird	100%	26,894	74.6	208	0.6	172	0.5	26,514	73.5
Drum	100%	20,246	56.2	197	0.5	189	0.5	19,860	55.1
Engine	100%	16,245	45.0	189	0.5	186	0.5	15,870	44.0
Narration, monologue	100%	15,590	43.3	60	0.2	60	0.2	15,470	42.9
Drum kit	100%	15,169	42.1	82	0.2	94	0.3	14,993	41.6
Acoustic guitar	100%	14,568	40.5	92	0.3	60	0.2	14,416	40.0
Dog	100%	13,705	37.9	230	0.6	273	0.8	13,202	36.5
Child speech, kid speaking	100%	11,816	32.8	211	0.6	154	0.4	11,451	31.8
Bass drum	100%	9,292	25.8	89	0.2	87	0.2	9,116	25.3
Rail transport	100%	9,052	25.1	172	0.5	189	0.5	8,691	24.1
Motor vehicle (road)	100%	9,044	25.0	90	0.2	63	0.2	8,891	24.6
Water	100%	8,994	24.9	294	0.8	286	0.8	8,414	23.3
Female speech, woman speaking	100%	8,513	23.6	75	0.2	60	0.2	8,378	23.2
Siren	100%	8,498	23.5	212	0.6	207	0.6	8,079	22.4
Railroad car, train wagon	100%	8,361	23.2	166	0.5	183	0.5	8,012	22.3
Tools	100%	8,107	22.5	100	0.3	101	0.3	7,906	21.9
Silence	100%	7,662	21.2	59	0.2	60	0.2	7,543	20.9
Snare drum	100%	6,842	19.0	82	0.2	93	0.3	6,667	18.5
Wind	100%	6,805	18.9	183	0.5	168	0.5	6,454	17.9
Bird vocalization, bird call, bird song	100%	6,372	17.7	169	0.5	128	0.4	6,075	16.8
Fowl	100%	6,248	17.3	213	0.6	202	0.6	5,833	16.1
Wind instrument, woodwind instrument	100%	6,083	16.9	262	0.7	262	0.7	5,559	15.4
Emergency vehicle	100%	5,730	15.8	144	0.4	141	0.4	5,445	15.1
Laughter	100%	5,696	15.8	119	0.3	112	0.3	5,465	15.1
Chirp, tweet	100%	4,633	12.8	70	0.2	60	0.2	4,503	12.5
Rapping	100%	4,496	12.5	62	0.2	60	0.2	4,374	12.1
Cheering	100%	4,380	12.2	61	0.2	65	0.2	4,254	11.8
Gunshot, gunfire	100%	4,221	11.6	174	0.5	178	0.5	3,869	10.7
Radio	100%	4,214	11.7	60	0.2	60	0.2	4,094	11.4
Cat	100%	3,964	10.9	109	0.3	122	0.3	3,733	10.2
Hi-hat	100%	3,900	10.8	60	0.2	60	0.2	3,780	10.5
